geo_description,year,estimate,moe,se,cv,type,subtype
Mecklenburg,2018,0.3909324283674107,0.039437615340660606,0.020121232316663577,5.146984710552843,Race / Ethnicity,"Black, non-Hispanic"
Mecklenburg,2018,0.5001984727688633,0.06858217312058158,0.034990904653357954,6.995404136215126,Race / Ethnicity,Hispanic / Latino
Mecklenburg,2018,0.14602740483991447,0.018943128729831313,0.009664861596852712,6.618525890703881,Race / Ethnicity,"White, non-Hispanic"
Montgomery,2018,0.33280833535255633,0.1749524291085308,0.08926144342271979,26.82067542814449,Race / Ethnicity,"Black, non-Hispanic"
Montgomery,2018,0.40279952113454276,0.3056836687892913,0.15596105550474046,38.719275302377156,Race / Ethnicity,Hispanic / Latino
Montgomery,2018,0.21643509919013298,0.049844865284538645,0.02543105371660135,11.749967455260474,Race / Ethnicity,"White, non-Hispanic"
New Hanover,2018,0.5947870742696575,0.10819980190381823,0.055203980563172564,9.281301317947747,Race / Ethnicity,"Black, non-Hispanic"
New Hanover,2018,0.6138949546029192,0.15106487693634496,0.07707391680425764,12.554903119233282,Race / Ethnicity,Hispanic / Latino
New Hanover,2018,0.2417021051331369,0.033131252590763875,0.01690370030141014,6.9936090511495825,Race / Ethnicity,"White, non-Hispanic"
North Carolina,2018,0.45026546157706676,0.013390388280476517,0.006831830755345162,1.5172895410224212,Race / Ethnicity,"Black, non-Hispanic"
North Carolina,2018,0.49171768058928605,0.02014964860681644,0.01028043296266145,2.0907185908672505,Race / Ethnicity,Hispanic / Latino
North Carolina,2018,0.23048329699454176,0.005533614886640266,0.002823272901347074,1.2249360097508213,Race / Ethnicity,"White, non-Hispanic"
Onslow,2018,0.36938154782020954,0.19012107516894597,0.09700054855558468,26.260258296063594,Race / Ethnicity,"Black, non-Hispanic"
Onslow,2018,0.3643703911136003,0.14397790469614438,0.07345811464089,20.160286464656192,Race / Ethnicity,Hispanic / Latino
Onslow,2018,0.29139848440114163,0.06755549860856462,0.034467091126818686,11.828164171015727,Race / Ethnicity,"White, non-Hispanic"
Orange,2018,0.36419753086419754,0.17822567099107894,0.09093146479136681,24.967622535934613,Race / Ethnicity,"Black, non-Hispanic"
Orange,2018,0.5330940988835726,0.2398502454599204,0.1223725742142451,22.955154534728997,Race / Ethnicity,Hispanic / Latino
Orange,2018,0.24328433356697896,0.04164110571640415,0.021245462100206197,8.732770330382609,Race / Ethnicity,"White, non-Hispanic"
Pitt,2018,0.5589412421270828,0.0946013591463176,0.048265999564447756,8.635254643362643,Race / Ethnicity,"Black, non-Hispanic"
