year,fmr1,fmr2,fmr3,fmr4,countyname
2015,659,824,1181,1391,Washington
2015,656,844,1183,1377,Watauga
2015,471,637,830,1015,Wayne
2015,533,632,787,1055,Wilkes
2015,528,715,951,956,Wilson
2015,561,687,991,1046,Yadkin
2015,477,632,795,845,Yancey
2014,542,684,889,914,Alamance
2014,537,637,833,1037,Alexander
2014,537,637,912,915,Alleghany
2014,537,637,932,1128,Anson
2014,486,637,793,851,Ashe
2014,520,703,1036,1039,Avery
2014,496,637,939,1059,Beaufort
2014,471,637,844,851,Bertie
2014,471,637,793,851,Bladen
2014,661,818,1078,1230,Brunswick
2014,606,719,922,1197,Buncombe
2014,537,637,833,1037,Burke
2014,686,813,1096,1359,Cabarrus
2014,537,637,833,1037,Caldwell
2014,646,807,1005,1215,Camden
2014,583,691,988,1224,Carteret
2014,471,637,911,987,Caswell
2014,537,637,833,1037,Catawba
2014,711,843,1087,1273,Chatham
2014,471,637,842,1082,Cherokee
2014,537,637,845,1128,Chowan
2014,537,637,939,1128,Clay
2014,511,644,893,935,Cleveland
2014,520,637,793,851,Columbus
2014,584,790,1025,1379,Craven
2014,638,816,1091,1374,Cumberland
2014,939,1130,1562,1966,Currituck
2014,690,934,1310,1566,Dare
2014,506,637,887,1004,Davidson
2014,566,693,1e3,1055,Davie
2014,506,637,793,931,Duplin
2014,711,843,1087,1273,Durham
2014,545,673,918,968,Edgecombe
2014,566,693,1e3,1055,Forsyth
2014,722,856,1108,1377,Franklin
2014,686,813,1096,1359,Gaston
2014,510,637,847,1119,Gates
2014,471,637,939,1128,Graham
2014,615,732,912,994,Granville
2014,471,637,800,851,Greene
2014,598,709,964,1087,Guilford
2014,527,637,830,1124,Halifax
2014,524,709,943,1156,Harnett
2014,519,669,928,1185,Haywood
2014,606,719,922,1197,Henderson
2014,537,637,793,1128,Hertford
2014,518,663,922,1143,Hoke
2014,639,799,995,1068,Hyde
2014,653,774,1004,1368,Iredell
2014,529,676,877,1100,Jackson
2014,722,856,1108,1377,Johnston
2014,577,684,896,914,Jones
2014,617,731,910,977,Lee
2014,498,650,810,889,Lenoir
2014,537,637,868,871,Lincoln
2014,471,637,795,1042,McDowell
2014,527,713,888,953,Macon
2014,606,719,922,1197,Madison
2014,537,637,793,851,Martin
2014,686,813,1096,1359,Mecklenburg
2014,471,637,819,959,Mitchell
2014,503,637,835,956,Montgomery
2014,532,640,938,1128,Moore
2014,545,673,918,968,Nash
2014,661,818,1078,1230,New Hanover
2014,477,637,850,1093,Northampton
2014,616,757,1065,1341,Onslow
2014,711,843,1087,1273,Orange
2014,471,637,909,1114,Pamlico
2014,589,741,995,1168,Pasquotank
2014,487,659,971,1098,Pender
2014,627,743,1095,1316,Perquimans
2014,499,675,841,968,Person
2014,531,686,929,1215,Pitt
2014,486,642,800,1067,Polk
2014,598,709,964,1087,Randolph
2014,537,637,844,851,Richmond
2014,489,637,808,981,Robeson
2014,504,637,793,851,Rockingham
2014,514,665,885,1021,Rowan
2014,537,637,903,1061,Rutherford
2014,513,637,860,989,Sampson
2014,475,642,821,858,Scotland
2014,483,637,880,1112,Stanly
2014,566,693,1e3,1055,Stokes
2014,537,637,939,1128,Surry
2014,538,728,907,1098,Swain
2014,495,647,862,865,Transylvania
2014,537,637,816,959,Tyrrell
2014,686,813,1096,1359,Union
2014,489,662,824,965,Vance
2014,722,856,1108,1377,Wake
2014,484,637,939,1128,Warren
2014,510,637,913,1076,Washington
2014,627,807,1132,1317,Watauga
2014,511,691,901,1101,Wayne
2014,537,637,793,1064,Wilkes
2014,594,803,1068,1073,Wilson
2014,566,693,1e3,1055,Yadkin
2014,481,637,801,851,Yancey
2013,557,702,913,938,Alamance
2013,514,610,798,993,Alexander
2013,514,610,874,877,Alleghany
2013,514,610,893,1080,Anson
2013,465,610,760,815,Ashe
2013,520,704,1037,1041,Avery
2013,475,610,899,1014,Beaufort
2013,455,615,814,822,Bertie
2013,451,610,760,815,Bladen
2013,660,816,1076,1227,Brunswick
2013,655,777,997,1293,Buncombe
2013,514,610,798,993,Burke
2013,669,793,1069,1326,Cabarrus
2013,514,610,798,993,Caldwell
2013,680,849,1057,1278,Camden
2013,602,714,1021,1265,Carteret
2013,451,610,873,945,Caswell
2013,514,610,798,993,Catawba
2013,708,839,1082,1267,Chatham
2013,451,610,806,1036,Cherokee
2013,549,651,863,1153,Chowan
2013,514,610,899,1080,Clay
2013,484,610,846,885,Cleveland
2013,498,610,760,815,Columbus
2013,560,758,983,1323,Craven
2013,584,747,999,1258,Cumberland
2013,944,1136,1570,1976,Currituck
2013,683,924,1296,1549,Dare
2013,485,610,850,961,Davidson
2013,554,678,978,1032,Davie
2013,485,610,760,891,Duplin
2013,708,839,1082,1267,Durham
2013,513,634,865,912,Edgecombe
2013,554,678,978,1032,Forsyth
2013,741,878,1137,1412,Franklin
2013,669,793,1069,1326,Gaston
2013,491,613,815,1077,Gates
2013,451,610,899,1080,Graham
2013,607,722,899,980,Granville
2013,451,610,766,815,Greene
2013,591,701,953,1075,Guilford
2013,505,610,795,1076,Halifax
2013,557,754,1002,1229,Harnett
2013,560,721,1e3,1277,Haywood
2013,655,777,997,1293,Henderson
2013,535,634,790,1123,Hertford
2013,489,626,871,1079,Hoke
2013,635,793,988,1060,Hyde
2013,616,730,947,1290,Iredell
2013,502,642,833,1045,Jackson
2013,741,878,1137,1412,Johnston
2013,514,610,799,815,Jones
2013,564,669,833,894,Lee
2013,490,640,797,875,Lenoir
2013,514,610,831,834,Lincoln
2013,451,610,761,998,McDowell
2013,517,700,872,935,Macon
2013,655,777,997,1293,Madison
2013,514,610,760,815,Martin
2013,669,793,1069,1326,Mecklenburg
2013,451,610,785,918,Mitchell
2013,482,610,800,916,Montgomery
2013,507,610,894,1076,Moore
2013,513,634,865,912,Nash
2013,660,816,1076,1227,New Hanover
2013,457,610,814,1047,Northampton
2013,671,824,1159,1459,Onslow
2013,708,839,1082,1267,Orange
2013,453,613,875,1072,Pamlico
2013,586,737,990,1162,Pasquotank
2013,462,625,921,1041,Pender
2013,514,610,899,1080,Perquimans
2013,478,647,806,927,Person
2013,545,704,954,1247,Pitt
2013,484,640,797,1064,Polk
2013,591,701,953,1075,Randolph
2013,514,610,808,815,Richmond
2013,468,610,774,939,Robeson
