SERIALNO,SPORDER,year,total_taxes
19386,1,2018,2158
19387,2,2018,1263
19387,1,2018,0
19395,1,2018,96
19418,1,2018,0
19419,2,2018,2088
19419,1,2018,3750
19439,1,2018,0
19443,1,2018,0
19492,1,2018,0
19494,2,2018,18810
19494,1,2018,28126
19522,1,2018,0
19523,1,2018,0
19590,1,2018,5941
19592,1,2018,-9056
19606,1,2018,16331
19648,1,2018,17567
19671,1,2018,3488
19708,1,2018,5051
19738,1,2018,0
19764,1,2018,107
19827,1,2018,0
19864,1,2018,6112
19904,1,2018,30289
19908,3,2018,6235
19908,1,2018,0
19923,1,2018,3121
19957,1,2018,0
19969,2,2018,-191
19969,1,2018,0
19971,1,2018,0
20067,1,2018,1896
20088,1,2018,-400
20102,2,2018,-183
20102,1,2018,0
20113,1,2018,0
20177,1,2018,5762
20181,1,2018,-99
20222,1,2018,18026
20225,1,2018,0
20236,2,2018,2788
20236,1,2018,2788
20258,1,2018,0
20273,1,2018,1418
20292,1,2018,42017
20320,1,2018,2088
20340,1,2018,0
20341,1,2018,1913
20393,1,2018,0
20397,1,2018,0
20409,2,2018,5570
20409,1,2018,5762
20535,1,2018,0
20546,1,2018,1700
20547,1,2018,16190
20568,1,2018,11875
20579,1,2018,223900
20634,1,2018,3138
20647,1,2018,2487
20651,1,2018,2912
20677,2,2018,1108
20677,1,2018,0
20699,1,2018,0
20714,1,2018,2298
20727,1,2018,568
20743,1,2018,-91
20822,1,2018,-1006
20833,1,2018,0
20872,2,2018,-519
20872,1,2018,-42
20994,2,2018,4537
20994,3,2018,1294
20994,1,2018,0
20998,2,2018,4100
20998,1,2018,0
21109,1,2018,0
21125,1,2018,0
21125,1,2018,59018
21155,1,2018,922
21161,1,2018,1668
21171,1,2018,46
21295,1,2018,25510
21323,1,2018,5215
21339,1,2018,5587
21345,1,2018,-35
21375,1,2018,18910
21421,1,2018,41116
21424,1,2018,0
21432,2,2018,1418
21432,1,2018,10692
21433,1,2018,948
21447,1,2018,4187
21450,1,2018,162837
21496,1,2018,3842
21522,1,2018,0
21551,1,2018,0
21569,1,2018,-306
21574,2,2018,8217
21574,1,2018,18678
21589,1,2018,4187
21594,1,2018,219
21665,2,2018,-99
21665,3,2018,6252
21665,1,2018,6060
21710,1,2018,55
21721,1,2018,-4771
21725,1,2018,2788
21747,1,2018,19785
21749,1,2018,0
21774,2,2018,12617
21774,1,2018,5360
21781,1,2018,0
21819,1,2018,0
21822,1,2018,23568
21829,1,2018,36509
21847,1,2018,0
21848,1,2018,506
21869,3,2018,10142
21869,4,2018,12067
21869,1,2018,59593
21877,1,2018,23010
21884,2,2018,-336
21884,1,2018,0
21899,1,2018,-949
21905,1,2018,8081
21986,1,2018,0
21998,1,2018,2963
22020,1,2018,-99
22046,1,2018,0
22119,1,2018,10720
22130,3,2018,4012
22130,1,2018,4526
22131,1,2018,6677
22147,1,2018,-2375
22155,1,2018,5610
22185,1,2018,6602
22200,1,2018,3158
22209,1,2018,3138
22295,1,2018,-3400
22313,1,2018,9592
22354,1,2018,0
22372,1,2018,1767
22392,1,2018,4351
22399,1,2018,7326
22403,1,2018,4012
22422,1,2018,29955
22435,1,2018,1738
22452,1,2018,16467
22475,5,2018,-71
22475,6,2018,-71
22475,1,2018,-6225
22514,1,2018,0
22555,1,2018,0
22572,1,2018,4012
22586,1,2018,14785
22595,1,2018,5237
22625,1,2018,1418
22635,1,2018,0
22704,1,2018,0
22730,1,2018,0
22754,1,2018,0
22776,1,2018,-334
22782,1,2018,25970
22791,1,2018,-2625
22794,1,2018,10650
22837,1,2018,11525
22882,1,2018,166775
22928,1,2018,-1980
22968,1,2018,0
23028,1,2018,0
23038,1,2018,137
23048,2,2018,622
23048,1,2018,3138
23063,1,2018,0
23112,1,2018,1418
23130,1,2018,2263
23155,1,2018,-519
23221,1,2018,0
23226,1,2018,3132
23265,1,2018,1108
23265,1,2018,-7753
23302,1,2018,0
23310,1,2018,1738
23350,1,2018,8975
23354,1,2018,0
23393,2,2018,622
23393,1,2018,1418
23422,1,2018,1294
23426,3,2018,4887
23426,1,2018,-1065
23465,1,2018,0
23470,1,2018,0
23570,1,2018,20340
23588,1,2018,1418
23634,2,2018,68
23634,1,2018,68
23649,2,2018,-229
23649,3,2018,4012
23649,8,2018,-71
23649,1,2018,3348
23662,1,2018,1896
23668,1,2018,0
23679,1,2018,8767
23685,1,2018,0
23686,1,2018,3838
23688,1,2018,18560
23709,1,2018,1737
23769,1,2018,74
23888,1,2018,43
23941,1,2018,0
23942,1,2018,11686
23962,1,2018,76270
23967,2,2018,4537
23967,1,2018,-382
23981,1,2018,-519
24011,1,2018,-4482
24017,1,2018,0
24018,1,2018,0
24049,1,2018,-519
24060,1,2018,333
24070,1,2018,2088
24079,1,2018,1627
24095,1,2018,6637
24130,1,2018,0
24143,1,2018,0
24148,1,2018,622
24177,1,2018,779
24182,1,2018,0
24189,1,2018,8222
24190,1,2018,0
24197,1,2018,13100
24214,1,2018,7396
24221,1,2018,4012
24302,1,2018,3138
24305,1,2018,26253
24312,1,2018,488
24323,4,2018,2263
24323,1,2018,2263
24332,1,2018,241189
24335,1,2018,0
24346,1,2018,20427
24352,2,2018,2263
24352,1,2018,-382
24366,1,2018,5675
24388,1,2018,-122
24412,1,2018,0
24482,1,2018,9619
24501,1,2018,2263
24535,1,2018,0
24537,1,2018,0
24639,1,2018,0
24748,1,2018,0
24749,1,2018,136834
24765,1,2018,0
24783,1,2018,2263
24803,1,2018,0
