"","SERIALNO","SPORDER","year","total_taxes"
"458",13422,1,2011,0
"459",13440,1,2011,0
"460",13441,1,2011,8209
"461",13454,1,2011,9957
"462",13455,1,2011,0
"463",13468,1,2011,0
"464",13502,1,2011,0
"465",13523,1,2011,0
"466",13545,1,2011,-2177
"467",13551,1,2011,131107
"468",13565,1,2011,21880
"469",13589,5,2011,226
"470",13589,1,2011,-5332
"471",13681,1,2011,9355
"472",13686,1,2011,0
"473",13699,1,2011,5134
"474",13717,1,2011,15974
"475",13739,1,2011,21381
"476",13769,1,2011,140
"477",13820,1,2011,4599
"478",13852,1,2011,2973
"479",13921,1,2011,0
"480",13922,1,2011,4799
"481",13958,1,2011,14719
"482",13979,1,2011,9154
"483",13996,1,2011,0
"484",14048,1,2011,-369
"485",14065,1,2011,233
"486",14120,1,2011,43483
"487",14129,1,2011,5000
"488",14131,1,2011,568
"489",14133,1,2011,180
"490",14152,2,2011,2344
"491",14152,1,2011,0
"492",14168,1,2011,0
"493",14182,1,2011,193522
"494",14287,1,2011,0
"495",14289,1,2011,52360
"496",14397,1,2011,17622
"497",14432,1,2011,7887
"498",14476,1,2011,2208
"499",14530,1,2011,9857
"500",14549,1,2011,4799
"501",14563,1,2011,1316
"502",14604,1,2011,16948
"503",14635,3,2011,2270
"504",14635,1,2011,0
"505",14698,1,2011,0
"506",14794,1,2011,9097
"507",14836,1,2011,0
"508",14925,1,2011,0
"509",14965,1,2011,1545
"510",15061,3,2011,3940
"511",15061,1,2011,6539
"512",15068,2,2011,1305
"513",15068,1,2011,9097
"514",15073,1,2011,17234
"515",15131,1,2011,2570
"516",15200,1,2011,7128
"517",15230,1,2011,4513
"518",15236,1,2011,24172
"519",15236,3,2011,492
"520",15240,1,2011,-3394
"521",15254,1,2011,0
"522",15317,1,2011,28329
"523",15347,3,2011,695
"524",15347,1,2011,3994
"525",15351,1,2011,0
"526",15383,3,2011,86
"527",15383,1,2011,9497
"528",15470,1,2011,0
"529",15476,1,2011,-5997
"530",15597,2,2011,4227
"531",15597,1,2011,7378
"532",15714,1,2011,0
"533",15797,1,2011,2196
"534",15864,1,2011,4513
"535",15866,1,2011,10311
"536",15893,1,2011,11434
"537",15909,1,2011,14495
"538",15921,1,2011,0
"539",15980,1,2011,9511
"540",15995,1,2011,0
"541",16003,1,2011,0
"542",16005,1,2011,186
"543",16031,1,2011,1918
"544",16051,1,2011,-1248
"545",16066,1,2011,0
"546",16121,2,2011,-40
"547",16121,1,2011,11789
"548",16175,1,2011,7167
"549",16204,1,2011,6665
"550",16236,1,2011,3671
"551",16323,1,2011,-87
"552",16451,1,2011,66
"553",16471,1,2011,0
"554",16496,1,2011,15731
